No,Species,Nomenclature,C(cm),DBH(cm),S(m2),Latitude,Longitude,Code
68,Cóc đá,Garuga pinnata ,129.4,41.18,0.133230108,14.4992604,108.5755865,A15
69,Cóc đá,Garuga pinnata ,196.4,62.51,0.306914067,14.4995727,108.5754971,A15
70,Côm,Elaeocarpus Sp,51.3,16.33,0.020939609,14.499834,108.57636,A16
71,Côm,Elaeocarpus Sp,72.8,23.17,0.042169319,14.499366,108.57596,A16
72,Côm,Elaeocarpus Sp,53.6,17.06,0.022859325,14.499383,108.5758569,A16
73,Côm,Elaeocarpus Sp,37.5,11.94,0.011189131,14.4997478,108.5757708,A16
74,Côm,Elaeocarpus Sp,60.4,19.22,0.029027371,14.4998289,108.5756754,A16
75,Côm,Elaeocarpus Sp,70,22.28,0.038987906,14.4998394,108.5756656,A16
76,Côm,Elaeocarpus Sp,168,53.47,0.224570337,14.4999862,108.5756283,A16
77,Côm,Elaeocarpus Sp,65.6,20.88,0.034240611,14.4998602,108.5756034,A16
78,Côm,Elaeocarpus Sp,77,24.51,0.047175366,14.4999133,108.5755167,A16
79,Côm đăklăk,Elaeocarpus darlacensis,32,10.18,0.008147677,14.50001,108.576357,A17
80,Côm đăklăk,Elaeocarpus darlacensis,55,17.5,0.024069064,14.49931,108.576162,A17
81,Côm đăklăk,Elaeocarpus darlacensis,55.4,17.63,0.024420433,14.499851,108.576144,A17
82,Côm đăklăk,Elaeocarpus darlacensis,220,70.02,0.385105029,14.4997178,108.5756629,A17
83,Côm lá kèm,Elaeocarpus stipularis,81.4,25.91,0.052720878,14.499765,108.576422,A18
84,Côm lá kèm,Elaeocarpus stipularis,101.8,32.4,0.082457352,14.499302,108.5764,A18
85,Côm lá kèm,Elaeocarpus stipularis,48.2,15.34,0.01848536,14.499427,108.576372,A18
86,Côm lá kèm,Elaeocarpus stipularis,124.6,39.66,0.123529281,14.499345,108.576338,A18
87,Côm lá kèm,Elaeocarpus stipularis,84,26.73,0.056142584,14.499417,108.576299,A18
88,Côm lá kèm,Elaeocarpus stipularis,98.7,31.41,0.077511856,14.499572,108.576271,A18
89,Côm lá kèm,Elaeocarpus stipularis,91,28.96,0.065889561,14.499564,108.576197,A18
90,Côm lá kèm,Elaeocarpus stipularis,97.4,31,0.07548345,14.500117,108.576191,A18
91,Côm lá kèm,Elaeocarpus stipularis,112,35.65,0.099809039,14.499847,108.576172,A18
92,Côm lá kèm,Elaeocarpus stipularis,114.4,36.41,0.1041324,14.499285,108.576157,A18
93,Côm lá kèm,Elaeocarpus stipularis,140.5,44.72,0.157067553,14.499379,108.576152,A18
94,Côm lá kèm,Elaeocarpus stipularis,175,55.7,0.243674411,14.499894,108.576045,A18
95,Côm lá kèm,Elaeocarpus stipularis,125.2,39.85,0.124721833,14.5001153,108.5759302,A18
96,Côm lá kèm,Elaeocarpus stipularis,89,28.33,0.063025143,14.4998687,108.5757875,A18
97,Côm lá kèm,Elaeocarpus stipularis,152,48.38,0.183831954,14.4996824,108.5756875,A18
98,Côm lá kèm,Elaeocarpus stipularis,192,61.11,0.293316359,14.4992666,108.5756808,A18
99,Côm lá kèm,Elaeocarpus stipularis,105,33.42,0.087722788,14.4993622,108.57567,A18
100,Côm lá kèm,Elaeocarpus stipularis,138.5,44.08,0.152627705,14.4993099,108.575653,A18
101,Côm lá kèm,Elaeocarpus stipularis,113,35.96,0.1015993,14.4997899,108.5755657,A18
102,Côm trâu,Elaeocarpus sylvestris ,49,15.6,0.019104074,14.49985,108.576074,A19
103,Bứa lá nhỏ,Garcinia Sp,30.5,9.71,0.007401735,14.499806,108.576392,A2
104,Bứa lá nhỏ,Garcinia Sp,51.5,16.39,0.021103199,14.501686,108.576387,A2
105,Bứa lá nhỏ,Garcinia Sp,31.3,9.96,0.007795115,14.499376,108.575746,A2
106,Bứa lá nhỏ,Garcinia Sp,57.6,18.33,0.026398472,14.49934,108.575726,A2
107,Bứa lá nhỏ,Garcinia Sp,40.5,12.89,0.013051003,14.499408,108.575994,A2
108,Bứa lá nhỏ,Garcinia Sp,40,12.73,0.012730745,14.499276,108.575989,A2
109,Bứa lá nhỏ,Garcinia Sp,48,15.28,0.018332272,14.499951,108.575904,A2
110,Bứa lá nhỏ,Garcinia Sp,50.5,16.07,0.020291614,14.4997553,108.5758645,A2
111,Bứa lá nhỏ,Garcinia Sp,39,12.41,0.012102164,14.5001154,108.5758456,A2
112,Bứa lá nhỏ,Garcinia Sp,44,14,0.015404201,14.4997659,108.5758084,A2
113,Bứa lá nhỏ,Garcinia Sp,40.5,12.89,0.013051003,14.4997315,108.5756528,A2
114,Còng tía,Calophyllum saigonense,34,10.82,0.009197963,14.499707,108.57647,A20
115,Còng tía,Calophyllum saigonense,36.2,11.52,0.010426798,14.499357,108.576451,A20
116,Còng tía,Calophyllum saigonense,31,9.87,0.007646404,14.499644,108.576448,A20
117,Còng tía,Calophyllum saigonense,33,10.5,0.008664863,14.503367,108.576438,A20
118,Còng tía,Calophyllum saigonense,30.5,9.71,0.007401735,14.499727,108.57643,A20
119,Còng tía,Calophyllum saigonense,37.8,12.03,0.011368873,14.499734,108.576422,A20
120,Còng tía,Calophyllum saigonense,44.6,14.19,0.01582718,14.499765,108.576412,A20
121,Còng tía,Calophyllum saigonense,39.6,12.6,0.012477403,14.499786,108.576406,A20
122,Còng tía,Calophyllum saigonense,47.5,15.12,0.017952339,14.500001,108.576405,A20
123,Còng tía,Calophyllum saigonense,34.5,10.98,0.009470481,14.499352,108.576396,A20
124,Còng tía,Calophyllum saigonense,53.5,17.03,0.022774109,14.499379,108.576393,A20
125,Còng tía,Calophyllum saigonense,52.2,16.61,0.021680777,14.499858,108.576392,A20
126,Còng tía,Calophyllum saigonense,39.6,12.6,0.012477403,14.502178,108.576391,A20
127,Còng tía,Calophyllum saigonense,40.4,12.86,0.012986633,14.501686,108.576387,A20
128,Còng tía,Calophyllum saigonense,33.8,10.76,0.00909007,14.499356,108.576384,A20
129,Còng tía,Calophyllum saigonense,64.4,20.5,0.032999363,14.49979,108.57638,A20
130,Còng tía,Calophyllum saigonense,50.4,16.04,0.02021133,14.500153,108.576372,A20
131,Còng tía,Calophyllum saigonense,32,10.18,0.008147677,14.499992,108.576366,A20
132,Còng tía,Calophyllum saigonense,40.2,12.79,0.01285837,14.499379,108.576356,A20
133,Còng tía,Calophyllum saigonense,38,12.09,0.011489497,14.500005,108.576349,A20
134,Còng tía,Calophyllum saigonense,68.9,21.93,0.037772199,14.499411,108.576338,A20
135,Còng tía,Calophyllum saigonense,82,26.1,0.053500955,14.499345,108.576338,A20
136,Còng tía,Calophyllum saigonense,33.5,10.66,0.008929424,14.500398,108.576333,A20
137,Còng tía,Calophyllum saigonense,45,14.32,0.016112349,14.499733,108.576331,A20
138,Còng tía,Calophyllum saigonense,74,23.55,0.043570974,14.49983,108.576328,A20
139,Còng tía,Calophyllum saigonense,43.5,13.84,0.015056095,14.499699,108.576321,A20
140,Còng tía,Calophyllum saigonense,48,15.28,0.018332272,14.499588,108.576309,A20
141,Còng tía,Calophyllum saigonense,42,13.37,0.014035646,14.503647,108.576292,A20
142,Còng tía,Calophyllum saigonense,33.5,10.66,0.008929424,14.499521,108.576288,A20
143,Còng tía,Calophyllum saigonense,40.6,12.92,0.013115532,14.499641,108.576284,A20
144,Còng tía,Calophyllum saigonense,44.2,14.07,0.015544558,14.499198,108.575865,A20
145,Còng tía,Calophyllum saigonense,35.5,11.3,0.010027451,14.499377,108.575813,A20
146,Còng tía,Calophyllum saigonense,53.3,16.96,0.022604153,14.499301,108.575813,A20
147,Còng tía,Calophyllum saigonense,36,11.46,0.010311903,14.499278,108.575781,A20
148,Còng tía,Calophyllum saigonense,34.8,11.08,0.009635901,14.499287,108.575761,A20
149,Còng tía,Calophyllum saigonense,52.8,16.8,0.02218205,14.499278,108.575727,A20
150,Còng tía,Calophyllum saigonense,53.5,17.03,0.022774109,14.499291,108.575724,A20
151,Còng tía,Calophyllum saigonense,61.5,19.57,0.030094287,14.499856,108.576258,A20
152,Còng tía,Calophyllum saigonense,57,18.14,0.025851369,14.499856,108.576258,A20
153,Còng tía,Calophyllum saigonense,107.5,34.21,0.091949793,14.499455,108.576243,A20
154,Còng tía,Calophyllum saigonense,48.3,15.37,0.018562142,14.499949,108.576215,A20
155,Còng tía,Calophyllum saigonense,88.5,28.17,0.062318985,14.499363,108.5762,A20
156,Còng tía,Calophyllum saigonense,96,30.55,0.07332909,14.49984,108.576192,A20
157,Còng tía,Calophyllum saigonense,37.4,11.9,0.011129535,14.499707,108.576168,A20
158,Còng tía,Calophyllum saigonense,32,10.18,0.008147677,14.49931,108.576162,A20
159,Còng tía,Calophyllum saigonense,51.6,16.42,0.021185232,14.500142,108.576159,A20
160,Còng tía,Calophyllum saigonense,52.5,16.71,0.021930697,14.499633,108.576149,A20
161,Còng tía,Calophyllum saigonense,37.6,11.97,0.011248886,14.499881,108.576143,A20
162,Còng tía,Calophyllum saigonense,45.6,14.51,0.016544876,14.49938,108.576135,A20
163,Còng tía,Calophyllum saigonense,49.5,15.75,0.019495942,14.499905,108.576114,A20
164,Còng tía,Calophyllum saigonense,54.2,17.25,0.023373966,14.499407,108.576093,A20
165,Còng tía,Calophyllum saigonense,43.6,13.88,0.015125398,14.499635,108.576087,A20
166,Còng tía,Calophyllum saigonense,65.7,20.91,0.034345083,14.5000666,108.576072,A20
167,Còng tía,Calophyllum saigonense,45,14.32,0.016112349,14.499227,108.576069,A20
168,Còng tía,Calophyllum saigonense,63,20.05,0.031580204,14.500094,108.5760666,A20
169,Còng tía,Calophyllum saigonense,88.5,28.17,0.062318985,14.499365,108.576017,A20
170,Còng tía,Calophyllum saigonense,74,23.55,0.043570974,14.49993,108.576015,A20
171,Còng tía,Calophyllum saigonense,47.5,15.12,0.017952339,14.5001643,108.5760045,A20
172,Còng tía,Calophyllum saigonense,40,12.73,0.012730745,14.499416,108.576001,A20
173,Còng tía,Calophyllum saigonense,42.5,13.53,0.014371817,14.499606,108.575996,A20
174,Còng tía,Calophyllum saigonense,42.8,13.62,0.01457543,14.499429,108.575996,A20
175,Còng tía,Calophyllum saigonense,46.4,14.77,0.01713049,14.499739,108.575991,A20
176,Còng tía,Calophyllum saigonense,44.4,14.13,0.015685551,14.499739,108.575991,A20
177,Còng tía,Calophyllum saigonense,63,20.05,0.031580204,14.499528,108.575987,A20
178,Còng tía,Calophyllum saigonense,66.4,21.13,0.03508084,14.499424,108.575983,A20
179,Còng tía,Calophyllum saigonense,51.8,16.49,0.021349777,14.499364,108.575972,A20
180,Còng tía,Calophyllum saigonense,47.5,15.12,0.017952339,14.49966,108.575958,A20
181,Còng tía,Calophyllum saigonense,76.7,24.41,0.046808482,14.499345,108.575958,A20
182,Còng tía,Calophyllum saigonense,69,21.96,0.037881922,14.499477,108.575924,A20
183,Còng tía,Calophyllum saigonense,53.5,17.03,0.022774109,14.499855,108.575923,A20
184,Còng tía,Calophyllum saigonense,48.8,15.53,0.01894844,14.499766,108.57592,A20
185,Còng tía,Calophyllum saigonense,57,18.14,0.025851369,14.499355,108.575914,A20
186,Còng tía,Calophyllum saigonense,67,21.32,0.035717696,14.499352,108.575911,A20
187,Còng tía,Calophyllum saigonense,63,20.05,0.031580204,14.499794,108.575905,A20
188,Còng tía,Calophyllum saigonense,53.7,17.09,0.022944701,14.499693,108.575902,A20
189,Còng tía,Calophyllum saigonense,71.4,22.72,0.040563017,14.499957,108.575898,A20
190,Còng tía,Calophyllum saigonense,90.4,28.77,0.065023552,14.500015,108.5758952,A20
191,Còng tía,Calophyllum saigonense,43.5,13.84,0.015056095,14.5000758,108.5758935,A20
192,Còng tía,Calophyllum saigonense,59,18.78,0.027697327,14.499922,108.575884,A20
193,Còng tía,Calophyllum saigonense,44,14,0.015404201,14.49929,108.575883,A20
194,Còng tía,Calophyllum saigonense,53.5,17.03,0.022774109,14.49929,108.575883,A20
195,Còng tía,Calophyllum saigonense,41,13.05,0.013375239,14.49976,108.575879,A20
196,Còng tía,Calophyllum saigonense,75.5,24.03,0.045355267,14.4997553,108.5758645,A20
197,Còng tía,Calophyllum saigonense,55.4,17.63,0.024420433,14.499376,108.5758564,A20
198,Còng tía,Calophyllum saigonense,44.5,14.16,0.015756286,14.4993888,108.5758532,A20
199,Còng tía,Calophyllum saigonense,50,15.91,0.019891789,14.499352,108.5758489,A20
200,Còng tía,Calophyllum saigonense,55.7,17.73,0.02468563,14.5000061,108.5758439,A20
201,Còng tía,Calophyllum saigonense,68.2,21.71,0.037008593,14.4999738,108.5758327,A20
202,Còng tía,Calophyllum saigonense,43,13.69,0.014711967,14.4996898,108.5758309,A20
203,Còng tía,Calophyllum saigonense,96.4,30.68,0.073941439,14.4995613,108.5758284,A20
204,Còng tía,Calophyllum saigonense,90.5,28.8,0.065167489,14.49943,108.57582,A20
205,Còng tía,Calophyllum saigonense,54.5,17.35,0.023633434,14.4996958,108.5758176,A20
206,Còng tía,Calophyllum saigonense,51.6,16.42,0.021185232,14.4997657,108.5758048,A20
207,Còng tía,Calophyllum saigonense,61,19.41,0.029606938,14.4997657,108.5758046,A20
208,Còng tía,Calophyllum saigonense,44.5,14.16,0.015756286,14.499418,108.5757971,A20
209,Còng tía,Calophyllum saigonense,51.8,16.49,0.021349777,14.4996614,108.575784,A20
210,Còng tía,Calophyllum saigonense,75,23.87,0.044756525,14.4998867,108.5757819,A20
211,Còng tía,Calophyllum saigonense,66.5,21.16,0.035186585,14.4996815,108.5757771,A20
212,Còng tía,Calophyllum saigonense,56,17.82,0.02495226,14.4996519,108.5757589,A20
213,Còng tía,Calophyllum saigonense,71,22.6,0.040109803,14.500013,108.5757337,A20
214,Còng tía,Calophyllum saigonense,52.8,16.8,0.02218205,14.499975,108.5757252,A20
