No,Species,Nomenclature,C(cm),DBH(cm),S(m2),Latitude,Longitude,Code
67,Chắp xanh,Exbucklandia populnea ,56,17.82,0.02,14.500113,108.576043,A8
68,Chắp xanh,Exbucklandia populnea ,46,14.64,0.02,14.499863,108.576028,A8
69,Chắp xanh,Exbucklandia populnea ,40.5,12.89,0.01,14.5000781,108.5760159,A8
70,Chắp xanh,Exbucklandia populnea ,76.6,24.38,0.05,14.5000006,108.5759722,A8
71,Chắp xanh,Exbucklandia populnea ,54,17.19,0.02,14.499621,108.575965,A8
72,Chắp xanh,Exbucklandia populnea ,49,15.6,0.02,14.5001236,108.5759468,A8
73,Chắp xanh,Exbucklandia populnea ,114.5,36.44,0.1,14.50013,108.5759347,A8
74,Chắp xanh,Exbucklandia populnea ,99.5,31.67,0.08,14.499877,108.57592,A8
75,Chắp xanh,Exbucklandia populnea ,57,18.14,0.03,14.499935,108.575893,A8
76,Chắp xanh,Exbucklandia populnea ,24,7.64,0,14.4997593,108.5758832,A8
77,Chắp xanh,Exbucklandia populnea ,96.2,30.62,0.07,14.4998023,108.5758624,A8
78,Chắp xanh,Exbucklandia populnea ,101,32.15,0.08,14.499494,108.575844,A8
79,Chắp xanh,Exbucklandia populnea ,59.8,19.03,0.03,14.4998955,108.5757849,A8
80,Chắp xanh,Exbucklandia populnea ,118,37.56,0.11,14.4997971,108.5756568,A8
81,Chắp xanh,Exbucklandia populnea ,133,42.33,0.14,14.4992647,108.5755307,A8
82,Chắp xanh lá to,Exbucklandia Sp,61,19.41,0.03,14.499669,108.576313,A9
83,Chẹo,Engelhardtia roxburghiana ,425,135.26,1.44,14.499872,108.576441,A10
84,Chẹo tía,Engelhardtia chrysolepis,68.5,21.8,0.04,14.499362,108.57611,A11
85,Chẹo tía,Engelhardtia chrysolepis,87.5,27.85,0.06,14.5000887,108.5756392,A11
86,Chò xót,Schima crenata,32.8,10.44,0.01,14.499936,108.576429,A12
87,Chò xót,Schima crenata,37,11.78,0.01,14.499658,108.576424,A12
88,Chò xót,Schima crenata,37,11.78,0.01,14.499755,108.576315,A12
89,Chò xót,Schima crenata,56,17.82,0.02,14.499747,108.576309,A12
90,Chò xót,Schima crenata,129.4,41.18,0.13,14.499999,108.576284,A12
91,Chò xót,Schima crenata,66.2,21.07,0.03,14.500099,108.576202,A12
92,Chò xót,Schima crenata,66,21.01,0.03,14.499906,108.576183,A12
93,Chò xót,Schima crenata,142.9,45.48,0.16,14.499852,108.576144,A12
94,Chò xót,Schima crenata,115.5,36.76,0.11,14.499724,108.576133,A12
95,Chò xót,Schima crenata,88.4,28.13,0.06,14.499371,108.576032,A12
96,Chò xót,Schima crenata,64,20.37,0.03,14.499934,108.576021,A12
97,Chò xót,Schima crenata,65.5,20.85,0.03,14.499495,108.575945,A12
98,Chò xót,Schima crenata,76.6,24.38,0.05,14.4997903,108.5758763,A12
99,Chò xót,Schima crenata,148,47.1,0.17,14.4996996,108.5757034,A12
100,Chò xót,Schima crenata,161.4,51.37,0.21,14.499258,108.5756695,A12
101,Chò xót,Schima crenata,87,27.69,0.06,14.4995053,108.5756644,A12
102,Chò xót,Schima crenata,110.5,35.17,0.1,14.4995063,108.5756568,A12
103,Chò xót,Schima crenata,164,52.2,0.21,14.4997261,108.5756521,A12
104,Chò xót,Schima crenata,136,43.28,0.15,14.4998808,108.5756019,A12
105,Chò xót,Schima crenata,225,71.61,0.4,14.4998983,108.5755556,A12
106,Chò xót,Schima crenata,231,73.52,0.42,14.499405,108.5755528,A12
107,Chò xót,Schima crenata,220,70.02,0.39,14.4994331,108.575528,A12
108,chôm chôm đỏ,Nephelium Sp ,48.9,15.56,0.02,14.499577,108.576365,A13
109,Chua ke,Microcos paniculata,45,14.32,0.02,14.499925,108.576372,A14
110,Cóc đá,Garuga pinnata ,50.4,16.04,0.02,14.500047,108.5759155,A15
111,Cóc đá,Garuga pinnata ,63.5,20.21,0.03,14.4998717,108.5758871,A15
112,Cóc đá,Garuga pinnata ,38.1,12.13,0.01,14.4998717,108.5758871,A15
113,Cóc đá,Garuga pinnata ,36.5,11.62,0.01,14.5000154,108.5758451,A15
114,Cóc đá,Garuga pinnata ,90.8,28.9,0.07,14.4997667,108.5758056,A15
115,Cóc đá,Garuga pinnata ,57.3,18.24,0.03,14.4996722,108.5758052,A15
116,Cóc đá,Garuga pinnata ,56,17.82,0.02,14.4997738,108.5757984,A15
117,Cóc đá,Garuga pinnata ,82.3,26.19,0.05,14.4996494,108.5757698,A15
118,Cóc đá,Garuga pinnata ,81.5,25.94,0.05,14.4999717,108.575659,A15
119,Cóc đá,Garuga pinnata ,76.5,24.35,0.05,14.49976676,108.5757676,A15
120,Cóc đá,Garuga pinnata ,64,20.37,0.03,14.4997054,108.5756417,A15
121,Cóc đá,Garuga pinnata ,59.6,18.97,0.03,14.4997332,108.5756415,A15
122,Cóc đá,Garuga pinnata ,120,38.19,0.11,14.4998539,108.5756397,A15
123,Cóc đá,Garuga pinnata ,74.6,23.74,0.04,14.5000544,108.575637,A15
124,Cóc đá,Garuga pinnata ,96.4,30.68,0.07,14.4993843,108.5756234,A15
125,Cóc đá,Garuga pinnata ,129.4,41.18,0.13,14.4992604,108.5755865,A15
126,Cóc đá,Garuga pinnata ,196.4,62.51,0.31,14.4995727,108.5754971,A15
127,Côm,Elaeocarpus Sp,51.3,16.33,0.02,14.499834,108.57636,A16
128,Côm,Elaeocarpus Sp,72.8,23.17,0.04,14.499366,108.57596,A16
129,Côm,Elaeocarpus Sp,53.6,17.06,0.02,14.499383,108.5758569,A16
130,Côm,Elaeocarpus Sp,37.5,11.94,0.01,14.4997478,108.5757708,A16
131,Côm,Elaeocarpus Sp,60.4,19.22,0.03,14.4998289,108.5756754,A16
132,Côm,Elaeocarpus Sp,70,22.28,0.04,14.4998394,108.5756656,A16
133,Côm,Elaeocarpus Sp,168,53.47,0.22,14.4999862,108.5756283,A16
134,Côm,Elaeocarpus Sp,65.6,20.88,0.03,14.4998602,108.5756034,A16
135,Côm,Elaeocarpus Sp,77,24.51,0.05,14.4999133,108.5755167,A16
136,Côm đăklăk,Elaeocarpus darlacensis,32,10.18,0.01,14.50001,108.576357,A17
137,Côm đăklăk,Elaeocarpus darlacensis,55,17.5,0.02,14.49931,108.576162,A17
138,Côm đăklăk,Elaeocarpus darlacensis,55.4,17.63,0.02,14.499851,108.576144,A17
139,Côm đăklăk,Elaeocarpus darlacensis,220,70.02,0.39,14.4997178,108.5756629,A17
140,Côm lá kèm,Elaeocarpus stipularis,81.4,25.91,0.05,14.499765,108.576422,A18
141,Côm lá kèm,Elaeocarpus stipularis,101.8,32.4,0.08,14.499302,108.5764,A18
142,Côm lá kèm,Elaeocarpus stipularis,48.2,15.34,0.02,14.499427,108.576372,A18
143,Côm lá kèm,Elaeocarpus stipularis,124.6,39.66,0.12,14.499345,108.576338,A18
144,Côm lá kèm,Elaeocarpus stipularis,84,26.73,0.06,14.499417,108.576299,A18
145,Côm lá kèm,Elaeocarpus stipularis,98.7,31.41,0.08,14.499572,108.576271,A18
146,Côm lá kèm,Elaeocarpus stipularis,91,28.96,0.07,14.499564,108.576197,A18
147,Côm lá kèm,Elaeocarpus stipularis,97.4,31,0.08,14.500117,108.576191,A18
148,Côm lá kèm,Elaeocarpus stipularis,112,35.65,0.1,14.499847,108.576172,A18
149,Côm lá kèm,Elaeocarpus stipularis,114.4,36.41,0.1,14.499285,108.576157,A18
150,Côm lá kèm,Elaeocarpus stipularis,140.5,44.72,0.16,14.499379,108.576152,A18
151,Côm lá kèm,Elaeocarpus stipularis,175,55.7,0.24,14.499894,108.576045,A18
152,Côm lá kèm,Elaeocarpus stipularis,125.2,39.85,0.12,14.5001153,108.5759302,A18
153,Côm lá kèm,Elaeocarpus stipularis,89,28.33,0.06,14.4998687,108.5757875,A18
154,Côm lá kèm,Elaeocarpus stipularis,152,48.38,0.18,14.4996824,108.5756875,A18
155,Côm lá kèm,Elaeocarpus stipularis,192,61.11,0.29,14.4992666,108.5756808,A18
156,Côm lá kèm,Elaeocarpus stipularis,105,33.42,0.09,14.4993622,108.57567,A18
157,Côm lá kèm,Elaeocarpus stipularis,138.5,44.08,0.15,14.4993099,108.575653,A18
158,Côm lá kèm,Elaeocarpus stipularis,113,35.96,0.1,14.4997899,108.5755657,A18
159,Côm trâu,Elaeocarpus sylvestris ,49,15.6,0.02,14.49985,108.576074,A19
160,Còng tía,Calophyllum saigonense,34,10.82,0.01,14.499707,108.57647,A20
161,Còng tía,Calophyllum saigonense,36.2,11.52,0.01,14.499357,108.576451,A20
162,Còng tía,Calophyllum saigonense,31,9.87,0.01,14.499644,108.576448,A20
163,Còng tía,Calophyllum saigonense,33,10.5,0.01,14.503367,108.576438,A20
164,Còng tía,Calophyllum saigonense,30.5,9.71,0.01,14.499727,108.57643,A20
165,Còng tía,Calophyllum saigonense,37.8,12.03,0.01,14.499734,108.576422,A20
166,Còng tía,Calophyllum saigonense,44.6,14.19,0.02,14.499765,108.576412,A20
167,Còng tía,Calophyllum saigonense,39.6,12.6,0.01,14.499786,108.576406,A20
168,Còng tía,Calophyllum saigonense,47.5,15.12,0.02,14.500001,108.576405,A20
169,Còng tía,Calophyllum saigonense,34.5,10.98,0.01,14.499352,108.576396,A20
170,Còng tía,Calophyllum saigonense,53.5,17.03,0.02,14.499379,108.576393,A20
171,Còng tía,Calophyllum saigonense,52.2,16.61,0.02,14.499858,108.576392,A20
172,Còng tía,Calophyllum saigonense,39.6,12.6,0.01,14.502178,108.576391,A20
173,Còng tía,Calophyllum saigonense,40.4,12.86,0.01,14.501686,108.576387,A20
174,Còng tía,Calophyllum saigonense,33.8,10.76,0.01,14.499356,108.576384,A20
175,Còng tía,Calophyllum saigonense,64.4,20.5,0.03,14.49979,108.57638,A20
176,Còng tía,Calophyllum saigonense,50.4,16.04,0.02,14.500153,108.576372,A20
177,Còng tía,Calophyllum saigonense,32,10.18,0.01,14.499992,108.576366,A20
178,Còng tía,Calophyllum saigonense,40.2,12.79,0.01,14.499379,108.576356,A20
179,Còng tía,Calophyllum saigonense,38,12.09,0.01,14.500005,108.576349,A20
180,Còng tía,Calophyllum saigonense,68.9,21.93,0.04,14.499411,108.576338,A20
181,Còng tía,Calophyllum saigonense,82,26.1,0.05,14.499345,108.576338,A20
182,Còng tía,Calophyllum saigonense,33.5,10.66,0.01,14.500398,108.576333,A20
183,Còng tía,Calophyllum saigonense,45,14.32,0.02,14.499733,108.576331,A20
184,Còng tía,Calophyllum saigonense,74,23.55,0.04,14.49983,108.576328,A20
185,Còng tía,Calophyllum saigonense,43.5,13.84,0.02,14.499699,108.576321,A20
186,Còng tía,Calophyllum saigonense,48,15.28,0.02,14.499588,108.576309,A20
187,Còng tía,Calophyllum saigonense,42,13.37,0.01,14.503647,108.576292,A20
188,Còng tía,Calophyllum saigonense,33.5,10.66,0.01,14.499521,108.576288,A20
189,Còng tía,Calophyllum saigonense,40.6,12.92,0.01,14.499641,108.576284,A20
190,Còng tía,Calophyllum saigonense,44.2,14.07,0.02,14.499198,108.575865,A20
191,Còng tía,Calophyllum saigonense,35.5,11.3,0.01,14.499377,108.575813,A20
192,Còng tía,Calophyllum saigonense,53.3,16.96,0.02,14.499301,108.575813,A20
193,Còng tía,Calophyllum saigonense,36,11.46,0.01,14.499278,108.575781,A20
194,Còng tía,Calophyllum saigonense,34.8,11.08,0.01,14.499287,108.575761,A20
195,Còng tía,Calophyllum saigonense,52.8,16.8,0.02,14.499278,108.575727,A20
196,Còng tía,Calophyllum saigonense,53.5,17.03,0.02,14.499291,108.575724,A20
197,Còng tía,Calophyllum saigonense,61.5,19.57,0.03,14.499856,108.576258,A20
198,Còng tía,Calophyllum saigonense,57,18.14,0.03,14.499856,108.576258,A20
199,Còng tía,Calophyllum saigonense,107.5,34.21,0.09,14.499455,108.576243,A20
200,Còng tía,Calophyllum saigonense,48.3,15.37,0.02,14.499949,108.576215,A20
201,Còng tía,Calophyllum saigonense,88.5,28.17,0.06,14.499363,108.5762,A20
202,Còng tía,Calophyllum saigonense,96,30.55,0.07,14.49984,108.576192,A20
203,Còng tía,Calophyllum saigonense,37.4,11.9,0.01,14.499707,108.576168,A20
204,Còng tía,Calophyllum saigonense,32,10.18,0.01,14.49931,108.576162,A20
205,Còng tía,Calophyllum saigonense,51.6,16.42,0.02,14.500142,108.576159,A20
206,Còng tía,Calophyllum saigonense,52.5,16.71,0.02,14.499633,108.576149,A20
207,Còng tía,Calophyllum saigonense,37.6,11.97,0.01,14.499881,108.576143,A20
208,Còng tía,Calophyllum saigonense,45.6,14.51,0.02,14.49938,108.576135,A20
209,Còng tía,Calophyllum saigonense,49.5,15.75,0.02,14.499905,108.576114,A20
210,Còng tía,Calophyllum saigonense,54.2,17.25,0.02,14.499407,108.576093,A20
211,Còng tía,Calophyllum saigonense,43.6,13.88,0.02,14.499635,108.576087,A20
212,Còng tía,Calophyllum saigonense,65.7,20.91,0.03,14.5000666,108.576072,A20
213,Còng tía,Calophyllum saigonense,45,14.32,0.02,14.499227,108.576069,A20
214,Còng tía,Calophyllum saigonense,63,20.05,0.03,14.500094,108.5760666,A20
215,Còng tía,Calophyllum saigonense,88.5,28.17,0.06,14.499365,108.576017,A20
216,Còng tía,Calophyllum saigonense,74,23.55,0.04,14.49993,108.576015,A20
217,Còng tía,Calophyllum saigonense,47.5,15.12,0.02,14.5001643,108.5760045,A20
218,Còng tía,Calophyllum saigonense,40,12.73,0.01,14.499416,108.576001,A20
219,Còng tía,Calophyllum saigonense,42.5,13.53,0.01,14.499606,108.575996,A20
220,Còng tía,Calophyllum saigonense,42.8,13.62,0.01,14.499429,108.575996,A20
