Point	Longitude	Latitude	radius_m	gr	Lr	distance	d2x	d2y
S0113	108.57647	14.499707	1.0	0.0	-1.0	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	2.0	0.0	-2.0	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	3.0	0.0	-3.0	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	4.0	0.4842091887718777	-4.0	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	5.0	0.7747347020350043	-2.216594348581213	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	6.0	0.645612251695837	-2.0636699781776318	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	7.0	0.8300728950375046	-2.178999993668312	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	8.0	0.9684183775437555	-1.7761157544705073	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	9.0	0.8608163355944493	-1.6358008485341529	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	10.0	0.5810510265262533	-1.6497830457436375	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	11.0	0.8803803432215961	-2.1980984893319526	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	12.0	0.9684183775437553	-1.5854496839805599	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	13.0	0.44696232809711783	-1.8663773943248518	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	14.0	0.4150364475187523	-2.5237245002592097	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	15.0	0.6456122516958371	-2.867416046585509	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	16.0	0.6052614859648472	-2.9446702666037208	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	17.0	0.5696578691433853	-3.3641528136899	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	18.0	0.4304081677972248	-3.5369999810049375	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	19.0	0.10193877658355337	-4.271601697068306	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	20.0	0.09684183775437524	-5.271601697068306	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	21.0	0.36892128668333507	-6.0109018420002585	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	22.0	0.4401901716107982	-6.254679912710527	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	23.0	0.252630881098371	-6.770095542736506	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	24.0	0.24210459438593884	-7.533150097476096	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	25.0	0.3098938808140018	-8.069204396929493	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	26.0	0.3724686067475981	-8.617637278158885	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	27.0	0.2869387785314832	-8.961469714671825	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	28.0	0.27669096501250134	-9.747988552626538	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	29.0	0.3339373715668121	-10.122024395182041	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	30.0	0.1291224503391676	-10.715999974673249	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	31.0	0.1874358150084685	-11.715999974673249	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	32.0	0.4842091887718779	-12.122507752791044	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	33.0	0.7629962974587164	-12.17089936796112	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	34.0	0.6835894429720626	-11.732754788649704	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	35.0	0.6087201230275033	-12.04744900051842	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	36.0	0.5918112307211838	-11.894999968341565	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	37.0	0.4711224539402056	-12.260549427934873	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	38.0	0.7135714360848722	-12.489665825211077	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	39.0	0.7945996943948765	-12.157807971543122	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	40.0	0.5810510265262533	-12.165943485812125	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	41.0	0.4723992085579294	-12.478579328217982	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	42.0	0.4611516083541691	-12.807395247451716	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	43.0	0.5855552980497126	-13.151299737840262	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	44.0	0.5722472230940374	-13.130538010793654	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	45.0	0.38736735101750197	-13.509359825421054	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	46.0	0.3368411747978285	-14.021103729393573	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	47.0	0.28846504863005445	-14.540191085473012	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	48.0	0.28245536011692834	-15.184131341245042	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	49.0	0.276690965012502	-15.715309466512146	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	50.0	0.387367351017502	-16.367981550743842	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	51.0	0.0	-16.571173500777626	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	52.0	0.0	-52.0	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	53.0	0.0	-53.0	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	54.0	0.0	-54.0	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	55.0	0.0	-55.0	133.47076141368416	115.34221852640175	67.16112549500926
S0113	108.57647	14.499707	56.0	0.0	-56.0	133.47076141368416	115.34221852640175	67.16112549500926
S0114	108.576451	14.499357	1.0	0.0	-1.0	116.80831211239321	113.29426352559015	28.435745651211576
S0114	108.576451	14.499357	2.0	0.0	-2.0	116.80831211239321	113.29426352559015	28.435745651211576
S0114	108.576451	14.499357	3.0	0.0	-3.0	116.80831211239321	113.29426352559015	28.435745651211576
